date,city,cases
2022-07-01,Zhejiang_jia-xing-shi,0.0
2022-07-02,Zhejiang_jia-xing-shi,0.0
2022-07-03,Zhejiang_jia-xing-shi,0.0
2022-07-04,Zhejiang_jia-xing-shi,0.0
2022-07-05,Zhejiang_jia-xing-shi,0.0
2022-07-06,Zhejiang_jia-xing-shi,0.0
2022-07-07,Zhejiang_jia-xing-shi,0.0
2022-07-08,Zhejiang_jia-xing-shi,0.0
2022-07-09,Zhejiang_jia-xing-shi,0.0
2022-07-10,Zhejiang_jia-xing-shi,0.0
2022-07-11,Zhejiang_jia-xing-shi,0.0
2022-07-12,Zhejiang_jia-xing-shi,0.0
2022-07-13,Zhejiang_jia-xing-shi,0.0
2022-07-14,Zhejiang_jia-xing-shi,0.0
2022-07-15,Zhejiang_jia-xing-shi,0.0
2022-07-16,Zhejiang_jia-xing-shi,0.0
2022-07-17,Zhejiang_jia-xing-shi,0.0
2022-07-18,Zhejiang_jia-xing-shi,1.0
2022-07-19,Zhejiang_jia-xing-shi,0.0
2022-07-20,Zhejiang_jia-xing-shi,0.0
2022-07-21,Zhejiang_jia-xing-shi,0.0
2022-07-22,Zhejiang_jia-xing-shi,0.0
2022-07-23,Zhejiang_jia-xing-shi,0.0
2022-07-24,Zhejiang_jia-xing-shi,0.0
2022-07-25,Zhejiang_jia-xing-shi,0.0
2022-07-26,Zhejiang_jia-xing-shi,0.0
2022-07-27,Zhejiang_jia-xing-shi,0.0
2022-07-28,Zhejiang_jia-xing-shi,0.0
2022-07-29,Zhejiang_jia-xing-shi,0.0
2022-07-30,Zhejiang_jia-xing-shi,0.0
2022-07-31,Zhejiang_jia-xing-shi,0.0
2022-08-01,Zhejiang_jia-xing-shi,0.0
2022-08-02,Zhejiang_jia-xing-shi,0.0
2022-08-03,Zhejiang_jia-xing-shi,0.0
2022-08-04,Zhejiang_jia-xing-shi,0.0
2022-08-05,Zhejiang_jia-xing-shi,0.0
2022-08-06,Zhejiang_jia-xing-shi,0.0
2022-08-07,Zhejiang_jia-xing-shi,0.0
2022-08-08,Zhejiang_jia-xing-shi,0.0
2022-08-09,Zhejiang_jia-xing-shi,0.0
2022-08-10,Zhejiang_jia-xing-shi,0.0
2022-08-11,Zhejiang_jia-xing-shi,0.0
2022-08-12,Zhejiang_jia-xing-shi,1.0
2022-08-13,Zhejiang_jia-xing-shi,2.0
2022-08-14,Zhejiang_jia-xing-shi,0.0
2022-08-15,Zhejiang_jia-xing-shi,0.0
2022-08-16,Zhejiang_jia-xing-shi,0.0
2022-08-17,Zhejiang_jia-xing-shi,0.0
2022-08-18,Zhejiang_jia-xing-shi,0.0
2022-08-19,Zhejiang_jia-xing-shi,0.0
2022-08-20,Zhejiang_jia-xing-shi,0.0
2022-08-21,Zhejiang_jia-xing-shi,0.0
2022-08-22,Zhejiang_jia-xing-shi,0.0
2022-08-23,Zhejiang_jia-xing-shi,0.0
2022-08-24,Zhejiang_jia-xing-shi,0.0
2022-08-25,Zhejiang_jia-xing-shi,0.0
2022-08-26,Zhejiang_jia-xing-shi,0.0
2022-08-27,Zhejiang_jia-xing-shi,0.0
2022-08-28,Zhejiang_jia-xing-shi,0.0
2022-08-29,Zhejiang_jia-xing-shi,0.0
2022-08-30,Zhejiang_jia-xing-shi,0.0
2022-08-31,Zhejiang_jia-xing-shi,0.0
2022-09-01,Zhejiang_jia-xing-shi,0.0
2022-09-02,Zhejiang_jia-xing-shi,0.0
2022-09-03,Zhejiang_jia-xing-shi,0.0
2022-09-04,Zhejiang_jia-xing-shi,0.0
2022-09-05,Zhejiang_jia-xing-shi,0.0
2022-09-06,Zhejiang_jia-xing-shi,0.0
2022-09-07,Zhejiang_jia-xing-shi,0.0
2022-09-08,Zhejiang_jia-xing-shi,0.0
2022-09-09,Zhejiang_jia-xing-shi,0.0
2022-09-10,Zhejiang_jia-xing-shi,0.0
2022-09-11,Zhejiang_jia-xing-shi,0.0
2022-09-12,Zhejiang_jia-xing-shi,0.0
2022-09-13,Zhejiang_jia-xing-shi,0.0
2022-09-14,Zhejiang_jia-xing-shi,0.0
2022-09-15,Zhejiang_jia-xing-shi,0.0
2022-09-16,Zhejiang_jia-xing-shi,0.0
2022-09-17,Zhejiang_jia-xing-shi,0.0
2022-09-18,Zhejiang_jia-xing-shi,0.0
2022-09-19,Zhejiang_jia-xing-shi,0.0
2022-09-20,Zhejiang_jia-xing-shi,0.0
2022-09-21,Zhejiang_jia-xing-shi,0.0
2022-09-22,Zhejiang_jia-xing-shi,0.0
2022-09-23,Zhejiang_jia-xing-shi,0.0
2022-09-24,Zhejiang_jia-xing-shi,0.0
2022-09-25,Zhejiang_jia-xing-shi,0.0
2022-09-26,Zhejiang_jia-xing-shi,1.0
2022-09-27,Zhejiang_jia-xing-shi,0.0
2022-09-28,Zhejiang_jia-xing-shi,1.0
2022-09-29,Zhejiang_jia-xing-shi,2.0
2022-09-30,Zhejiang_jia-xing-shi,1.0
2022-10-01,Zhejiang_jia-xing-shi,0.0
2022-10-02,Zhejiang_jia-xing-shi,2.0
2022-10-03,Zhejiang_jia-xing-shi,6.0
2022-10-04,Zhejiang_jia-xing-shi,1.0
2022-10-05,Zhejiang_jia-xing-shi,2.0
2022-10-06,Zhejiang_jia-xing-shi,0.0
2022-10-07,Zhejiang_jia-xing-shi,0.0
2022-10-08,Zhejiang_jia-xing-shi,1.0
2022-10-09,Zhejiang_jia-xing-shi,0.0
2022-10-10,Zhejiang_jia-xing-shi,1.0
2022-10-11,Zhejiang_jia-xing-shi,0.0
2022-10-12,Zhejiang_jia-xing-shi,0.0
2022-10-13,Zhejiang_jia-xing-shi,0.0
2022-10-14,Zhejiang_jia-xing-shi,0.0
2022-10-15,Zhejiang_jia-xing-shi,0.0
2022-10-16,Zhejiang_jia-xing-shi,0.0
2022-10-17,Zhejiang_jia-xing-shi,1.0
2022-10-18,Zhejiang_jia-xing-shi,0.0
2022-10-19,Zhejiang_jia-xing-shi,2.0
2022-10-20,Zhejiang_jia-xing-shi,0.0
2022-10-21,Zhejiang_jia-xing-shi,0.0
2022-10-22,Zhejiang_jia-xing-shi,0.0
2022-10-23,Zhejiang_jia-xing-shi,4.0
2022-10-24,Zhejiang_jia-xing-shi,2.0
2022-10-25,Zhejiang_jia-xing-shi,1.0
2022-10-26,Zhejiang_jia-xing-shi,0.0
2022-10-27,Zhejiang_jia-xing-shi,2.0
2022-10-28,Zhejiang_jia-xing-shi,0.0
2022-10-29,Zhejiang_jia-xing-shi,2.0
2022-10-30,Zhejiang_jia-xing-shi,1.0
2022-10-31,Zhejiang_jia-xing-shi,0.0
2022-11-01,Zhejiang_jia-xing-shi,0.0
2022-11-02,Zhejiang_jia-xing-shi,0.0
2022-11-03,Zhejiang_jia-xing-shi,1.0
2022-11-04,Zhejiang_jia-xing-shi,0.0
2022-11-05,Zhejiang_jia-xing-shi,0.0
2022-11-06,Zhejiang_jia-xing-shi,0.0
2022-11-07,Zhejiang_jia-xing-shi,0.0
2022-11-08,Zhejiang_jia-xing-shi,1.0
2022-11-09,Zhejiang_jia-xing-shi,0.0
2022-11-10,Zhejiang_jia-xing-shi,3.0
2022-11-11,Zhejiang_jia-xing-shi,4.0
2022-11-12,Zhejiang_jia-xing-shi,3.0
2022-11-13,Zhejiang_jia-xing-shi,3.0
2022-11-14,Zhejiang_jia-xing-shi,4.0
2022-11-15,Zhejiang_jia-xing-shi,4.0
2022-11-16,Zhejiang_jia-xing-shi,2.0
2022-11-17,Zhejiang_jia-xing-shi,3.0
2022-11-18,Zhejiang_jia-xing-shi,2.0
2022-11-19,Zhejiang_jia-xing-shi,5.0
2022-11-20,Zhejiang_jia-xing-shi,2.0
2022-11-21,Zhejiang_jia-xing-shi,5.0
2022-11-22,Zhejiang_jia-xing-shi,8.0
2022-11-23,Zhejiang_jia-xing-shi,8.0
2022-11-24,Zhejiang_jia-xing-shi,11.0
2022-11-25,Zhejiang_jia-xing-shi,24.0
2022-11-26,Zhejiang_jia-xing-shi,13.0
2022-11-27,Zhejiang_jia-xing-shi,17.0
2022-11-28,Zhejiang_jia-xing-shi,21.0
2022-11-29,Zhejiang_jia-xing-shi,23.0
2022-11-30,Zhejiang_jia-xing-shi,24.0
2022-12-01,Zhejiang_jia-xing-shi,27.0
2022-12-02,Zhejiang_jia-xing-shi,42.0
2022-12-03,Zhejiang_jia-xing-shi,49.0
2022-12-04,Zhejiang_jia-xing-shi,64.0
